rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
BHZ-IPA,IPA-BHZ,2026-04-16,5,7,30,74.27,270,0.11,0.09,240,166,115,141,21.3,111,5,0,9,6,1,0,5.0,-4.0,-80.0,-0.1,🚨 ABAIXO FORECAST + DESACEL - URGENTE
GVS-SAO,GVS-SAO,2026-04-16,5,7,31,145.9,64,0.48,0.39,33,60,66,63,49.2,32,0,0,9,12,0,0,5.3,-5.3,-100.0,0.8,🚨 ABAIXO FORECAST + DESACEL - URGENTE
CMP-SJK,CMP-SJK,2026-04-16,5,7,3,28.9,46,0.07,0.02,43,54,49,52,5.8,49,0,0,0,1,0,0,0.3,-0.3,-100.0,0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CMP-SAO,SAO-CMP,2026-04-16,5,7,40,18.85,322,0.12,0.11,282,237,222,230,17.4,190,1,3,4,2,12,0,2.5,9.5,380.0,1.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CMP-SJK,SJK-CMP,2026-04-16,5,7,7,32.76,46,0.15,0.11,39,39,38,39,17.9,32,0,0,1,0,4,0,0.3,3.8,1500.0,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CMP-SAO,CMP-SAO,2026-04-16,5,7,48,20.13,368,0.13,0.11,320,290,236,263,18.3,215,2,3,4,5,11,0,3.5,7.5,214.3,1.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-SJK,SAO-SJK,2026-04-16,5,7,21,17.23,184,0.11,0.11,163,119,97,108,19.4,87,1,1,2,2,4,0,1.5,2.5,166.7,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
IPA-VIX,VIX-IPA,2026-04-16,5,7,10,96.4,81,0.12,0.11,71,56,46,51,19.6,41,0,1,0,1,0,0,0.5,-0.5,-100.0,0.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
IPA-VIX,IPA-VIX,2026-04-16,5,7,14,131.69,80,0.18,0.15,66,64,50,57,24.6,43,0,0,1,1,2,0,0.5,1.5,300.0,0.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-SJK,SJK-SAO,2026-04-16,5,7,30,18.8,184,0.16,0.15,154,137,107,122,24.6,92,0,2,1,4,11,0,1.8,9.3,528.6,1.6,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-RAO,RAO-BHZ,2026-04-16,5,7,13,228.21,49,0.27,0.21,36,47,50,49,26.5,36,0,2,0,2,4,0,1.0,3.0,300.0,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-UDI,BHZ-UDI,2026-04-16,5,7,37,178.79,102,0.36,0.34,65,132,128,130,28.5,93,0,3,9,15,7,0,6.8,0.3,3.7,1.7,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BOA-MAN,MAN-BOA,2026-04-16,5,7,12,113.9,43,0.28,0.28,31,43,39,41,29.3,29,0,0,0,1,2,0,0.3,1.8,700.0,0.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CDG-RIO,RIO-CDG,2026-04-16,5,7,27,58.12,92,0.29,0.29,65,93,81,87,31.0,60,2,0,1,2,6,0,1.3,4.8,380.0,0.7,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BOA-MAN,BOA-MAN,2026-04-16,5,7,13,131.59,42,0.31,0.29,29,40,41,41,31.7,28,0,0,2,2,2,0,1.0,1.0,100.0,0.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-IPA,BHZ-IPA,2026-04-16,5,7,63,67.85,313,0.2,0.17,250,196,187,192,32.8,129,2,0,3,9,11,0,3.5,7.5,214.3,1.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-SJP,SJP-SAO,2026-04-16,5,7,81,97.09,190,0.43,0.36,109,244,240,242,33.5,161,6,4,18,5,29,0,8.3,20.8,251.5,3.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RAO-SAO,SAO-RAO,2026-04-16,5,7,132,71.29,476,0.28,0.24,344,376,378,377,35.0,245,3,4,23,35,26,0,16.3,9.8,60.0,5.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
MCL-SAO,SAO-MCL,2026-04-16,5,7,27,136.05,64,0.42,0.28,37,78,69,74,36.5,47,6,0,6,3,3,0,3.8,-0.8,-20.0,-0.2,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RIO-SAO,RIO-SAO,2026-04-16,5,7,171,118.55,619,0.28,0.27,448,464,459,462,37.0,291,13,50,50,55,54,0,42.0,12.0,28.6,5.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-UDI,SAO-UDI,2026-04-16,5,7,21,155.33,43,0.49,0.48,22,48,62,55,38.2,34,4,2,4,4,4,0,3.5,0.5,14.3,0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CDG-RIO,CDG-RIO,2026-04-16,5,7,34,54.93,92,0.37,0.36,58,97,78,88,38.6,54,1,1,3,7,2,0,3.0,-1.0,-33.3,0.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-DTI,BHZ-DTI,2026-04-16,5,7,16,54.27,88,0.18,0.17,72,43,39,41,39.0,25,2,1,2,2,0,0,1.8,-1.8,-100.0,-0.2,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-SJP,SAO-SJP,2026-04-16,5,7,90,101.9,227,0.4,0.35,137,227,217,222,40.5,132,0,11,10,16,16,0,9.3,6.8,73.0,2.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-UDI,UDI-BHZ,2026-04-16,5,7,50,131.48,101,0.5,0.48,51,119,118,119,42.0,69,6,6,16,6,6,0,8.5,-2.5,-29.4,0.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
MCE-SAO,MCE-SAO,2026-04-16,5,7,17,131.84,44,0.39,0.37,27,43,36,40,42.5,23,0,0,2,1,0,0,0.8,-0.8,-100.0,0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RIO-VIX,VIX-RIO,2026-04-16,5,7,78,140.5,177,0.44,0.42,99,152,201,177,44.1,99,0,0,4,9,15,0,3.3,11.8,361.5,2.6,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-CMP,BHZ-CMP,2026-04-16,5,7,27,183.27,43,0.63,0.56,16,60,62,61,44.3,34,0,6,2,0,4,0,2.0,2.0,100.0,0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-CMP,CMP-BHZ,2026-04-16,5,7,27,196.23,40,0.68,0.6,13,61,60,61,44.3,34,6,0,6,0,4,0,3.0,1.0,33.3,-0.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
PAS-SAO,PAS-SAO,2026-04-16,5,7,16,75.09,46,0.35,0.3,30,31,40,36,44.4,20,0,0,0,1,8,0,0.3,7.8,3100.0,1.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RAO-SAO,RAO-SAO,2026-04-16,5,7,177,63.7,524,0.34,0.28,347,389,409,399,44.4,222,19,15,16,19,38,0,17.3,20.8,120.3,2.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
GVS-SAO,SAO-GVS,2026-04-16,5,7,26,108.44,56,0.46,0.26,30,57,58,58,44.8,32,9,6,9,18,9,0,10.5,-1.5,-14.3,0.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-RIO,RIO-BHZ,2026-04-16,5,7,111,112.6,347,0.32,0.3,236,242,251,247,44.9,136,3,12,13,25,27,0,13.3,13.8,103.8,4.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BAT-SAO,BAT-SAO,2026-04-16,5,7,49,85.9,136,0.36,0.32,87,100,116,108,45.4,59,0,3,4,2,5,0,2.3,2.8,122.2,0.6,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-DTI,DTI-BHZ,2026-04-16,5,7,26,52.67,91,0.29,0.24,65,53,60,57,45.6,31,0,3,5,2,2,0,2.5,-0.5,-20.0,0.2,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-GYN,BHZ-GYN,2026-04-16,5,7,26,151.94,64,0.41,0.37,38,50,63,57,45.6,31,0,0,0,0,3,0,0.0,3.0,,0.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CAB-VIX,CAB-VIX,2026-04-16,5,7,17,76.49,44,0.39,0.35,27,39,35,37,45.9,20,2,1,1,2,1,0,1.5,-0.5,-33.3,-0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-MCL,BHZ-MCL,2026-04-16,5,7,48,92.84,192,0.25,0.25,144,87,120,104,46.2,56,0,3,12,18,15,0,8.3,6.8,81.8,3.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
QAK-SAO,QAK-SAO,2026-04-16,5,7,18,122.96,60,0.3,0.26,42,39,37,38,47.4,20,0,9,3,9,3,0,5.3,-2.3,-42.9,0.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
GYN-SAO,SAO-GYN,2026-04-16,5,7,25,123.7,60,0.42,0.29,35,53,50,52,48.1,27,3,0,6,0,6,0,2.3,3.8,166.7,0.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
PAS-SAO,SAO-PAS,2026-04-16,5,7,16,84.9,46,0.35,0.32,30,31,34,33,48.5,17,0,1,5,0,3,0,1.5,1.5,100.0,0.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-SAO,SAO-BHZ,2026-04-16,5,7,148,183.48,368,0.4,0.38,220,292,308,300,49.3,152,3,8,25,34,50,0,17.5,32.5,185.7,8.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
MCL-RIO,RIO-MCL,2026-04-16,5,7,20,138.85,60,0.33,0.22,40,42,37,40,50.0,20,0,3,12,0,15,0,3.8,11.3,300.0,1.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CAB-RIO,CAB-RIO,2026-04-16,5,7,50,36.68,138,0.36,0.34,88,81,118,100,50.0,50,0,0,5,4,13,0,2.3,10.8,477.8,2.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-SAO,BHZ-SAO,2026-04-16,5,7,151,148.32,284,0.53,0.51,133,310,292,301,50.2,150,6,7,19,54,26,0,21.5,4.5,20.9,5.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CPC-FLN,FLN-CPC,2026-04-16,5,7,95,151.52,164,0.58,0.46,69,179,196,188,50.5,93,16,11,8,29,28,0,16.0,12.0,75.0,2.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BAT-SAO,SAO-BAT,2026-04-16,5,7,50,80.28,136,0.37,0.33,86,95,100,98,51.0,48,1,5,0,8,14,0,3.5,10.5,300.0,1.9,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-RAO,BHZ-RAO,2026-04-16,5,7,25,168.46,60,0.42,0.31,35,52,46,49,51.0,24,3,3,6,15,12,0,6.8,5.3,77.8,2.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RIO-STS,RIO-STS,2026-04-16,5,7,17,111.78,41,0.41,0.39,24,33,32,33,51.5,16,1,3,0,1,2,0,1.3,0.8,60.0,0.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-MCE,MCE-BHZ,2026-04-16,5,7,16,127.4,45,0.36,0.32,29,32,30,31,51.6,15,0,2,0,3,0,0,1.3,-1.3,-100.0,0.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-MCL,MCL-BHZ,2026-04-16,5,7,63,106.88,256,0.25,0.24,193,106,137,122,51.6,59,12,18,27,6,36,0,15.8,20.3,128.6,2.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
SAO-UDI,UDI-SAO,2026-04-16,5,7,28,172.86,43,0.65,0.63,15,52,53,53,52.8,25,0,0,2,0,8,0,0.5,7.5,1500.0,1.1,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
OLP-SAO,SAO-OLP,2026-04-16,5,7,32,80.31,92,0.35,0.28,60,67,52,60,53.3,28,4,1,0,1,7,0,1.5,5.5,366.7,0.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CRG-SAO,SAO-CRG,2026-04-16,5,7,59,50.61,182,0.32,0.28,123,75,145,110,53.6,51,0,2,8,2,5,0,3.0,2.0,66.7,0.7,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
QDC-SAO,QDC-SAO,2026-04-16,5,7,14,128.76,42,0.33,0.27,28,27,24,26,53.8,12,0,0,3,1,2,0,1.0,1.0,100.0,0.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CAB-RIO,RIO-CAB,2026-04-16,5,7,57,36.85,138,0.41,0.38,81,94,118,106,53.8,49,3,0,4,7,9,0,3.5,5.5,157.1,1.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CAB-SAO,CAB-SAO,2026-04-16,5,7,57,134.72,133,0.43,0.4,76,85,118,102,55.9,45,4,2,4,3,2,0,3.3,-1.3,-38.5,-0.2,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
PNV-SAO,SAO-PNV,2026-04-16,5,7,18,148.34,45,0.4,0.35,27,27,36,32,56.3,14,2,0,2,2,1,0,1.5,-0.5,-33.3,0.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
MCL-SAO,MCL-SAO,2026-04-16,5,7,50,135.42,64,0.78,0.58,14,90,81,86,58.1,36,6,6,9,9,12,0,7.5,4.5,60.0,1.0,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CRG-SAO,CRG-SAO,2026-04-16,5,7,38,45.53,136,0.28,0.23,98,54,75,65,58.5,27,2,2,2,2,9,0,2.0,7.0,350.0,0.9,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
GYN-SAO,GYN-SAO,2026-04-16,5,7,24,149.9,60,0.4,0.34,36,49,33,41,58.5,17,3,0,6,9,12,0,4.5,7.5,166.7,1.8,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
ARB-SAO,ARB-SAO,2026-04-16,5,7,67,119.78,153,0.44,0.38,86,102,126,114,58.8,47,13,4,18,3,24,0,9.5,14.5,152.6,1.4,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
RIO-SAO,SAO-RIO,2026-04-16,5,7,394,196.16,633,0.62,0.61,239,562,773,668,59.0,274,13,67,47,77,77,0,51.0,26.0,51.0,9.2,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
BHZ-VIX,VIX-BHZ,2026-04-16,5,7,129,136.91,261,0.49,0.47,132,230,206,218,59.2,89,6,21,6,9,23,0,10.5,12.5,119.0,1.5,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
CPC-FLN,CPC-FLN,2026-04-16,5,7,135,177.96,245,0.55,0.48,110,217,237,227,59.5,92,0,24,18,29,22,2,17.8,4.3,23.9,3.3,⚠️ ABAIXO FORECAST - PROXIMA VIAGEM
GYN-SAO,SAO-GYN,2026-04-20,2,11,26,128.9,60,0.43,0.29,34,33,23,28,92.9,2,0,0,6,15,12,0,5.3,6.8,128.6,2.6,🔴 LOTANDO - REVISAR PREÇO
CRG-SAO,CRG-SAO,2026-04-21,3,12,161,76.22,227,0.71,0.59,66,90,251,171,94.2,10,9,5,13,10,16,0,9.3,6.8,73.0,1.3,🔴 LOTANDO - REVISAR PREÇO
CAB-SAO,CAB-SAO,2026-04-21,3,12,156,204.18,276,0.57,0.55,120,100,230,165,94.5,9,4,1,12,6,28,0,5.8,22.3,387.0,3.5,🔴 LOTANDO - REVISAR PREÇO
BHZ-RIO,RIO-BHZ,2026-04-21,3,12,545,223.39,873,0.62,0.62,328,337,814,576,94.6,31,9,22,55,90,75,0,44.0,31.0,70.5,13.3,🔴 LOTANDO - REVISAR PREÇO
RAO-RIO,RAO-RIO,2026-04-17,6,8,91,228.05,140,0.65,0.63,49,54,127,91,100.0,0,0,0,10,3,11,0,3.3,7.8,238.5,1.7,🔴 LOTANDO - REVISAR PREÇO
CAB-JDF,JDF-CAB,2026-04-16,5,7,88,88.85,136,0.65,0.61,48,58,116,87,101.1,0,5,0,4,7,7,0,4.0,3.0,75.0,0.7,🔴 LOTANDO - REVISAR PREÇO
BHZ-RIO,BHZ-RIO,2026-04-17,6,8,808,204.84,1085,0.74,0.73,277,537,1041,789,102.4,0,19,22,125,119,123,0,71.3,51.8,72.6,20.3,🔴 LOTANDO - REVISAR PREÇO
BHZ-CAB,CAB-BHZ,2026-04-20,2,11,296,180.89,476,0.62,0.6,180,211,365,288,102.8,0,6,5,20,22,49,0,13.3,35.8,269.8,6.9,🔴 LOTANDO - REVISAR PREÇO
RIO-STS,STS-RIO,2026-04-16,5,7,43,160.99,56,0.77,0.74,13,36,37,37,116.2,0,0,0,0,21,15,0,5.3,9.8,185.7,3.4,🔴 LOTANDO - REVISAR PREÇO
CMP-SAO,CMP-SAO,2026-04-19,1,10,40,22.3,460,0.09,0.08,420,558,467,513,7.8,473,8,4,4,2,12,0,4.5,7.5,166.7,0.4,🟢 ACELERANDO - OPORTUNIDADE
CMP-SAO,SAO-CMP,2026-04-20,2,11,34,21.31,552,0.06,0.05,518,388,368,378,9.0,344,4,2,4,4,8,0,3.5,4.5,128.6,0.7,🟢 ACELERANDO - OPORTUNIDADE
CMP-SAO,SAO-CMP,2026-04-19,1,10,46,21.6,506,0.09,0.07,460,519,432,476,9.7,430,1,4,4,6,14,0,3.8,10.3,273.3,1.9,🟢 ACELERANDO - OPORTUNIDADE
CMP-SAO,CMP-SAO,2026-04-18,7,9,60,23.2,552,0.11,0.09,492,478,481,480,12.5,420,1,6,8,3,17,0,4.5,12.5,277.8,1.9,🟢 ACELERANDO - OPORTUNIDADE
CMP-SAO,CMP-SAO,2026-04-21,3,12,41,27.7,504,0.08,0.07,463,257,358,308,13.3,267,1,3,3,5,8,0,3.0,5.0,166.7,1.1,🟢 ACELERANDO - OPORTUNIDADE
BHZ-IPA,IPA-BHZ,2026-04-19,1,10,44,60.01,447,0.1,0.07,403,315,322,319,13.8,275,3,0,4,5,8,0,3.0,5.0,166.7,1.0,🟢 ACELERANDO - OPORTUNIDADE
CMP-SAO,SAO-CMP,2026-04-18,7,9,73,22.05,506,0.14,0.12,433,485,446,466,15.7,393,11,6,12,6,14,0,8.8,5.3,60.0,0.4,🟢 ACELERANDO - OPORTUNIDADE
RAO-SAO,RAO-SAO,2026-04-19,1,10,111,55.13,647,0.17,0.13,536,670,652,661,16.8,550,13,3,9,13,23,0,9.5,13.5,142.1,2.0,🟢 ACELERANDO - OPORTUNIDADE
SAO-SJP,SAO-SJP,2026-04-19,1,10,72,86.46,410,0.18,0.15,338,410,420,415,17.3,343,1,0,10,6,19,0,4.3,14.8,347.1,2.8,🟢 ACELERANDO - OPORTUNIDADE
CPC-FLN,FLN-CPC,2026-04-19,1,10,43,149.55,248,0.17,0.14,205,265,227,246,17.5,203,0,6,4,10,9,0,5.0,4.0,80.0,1.5,🟢 ACELERANDO - OPORTUNIDADE
CMP-SAO,SAO-CMP,2026-04-17,6,8,72,23.01,506,0.14,0.12,434,409,394,402,17.9,330,6,6,6,8,20,0,6.5,13.5,207.7,2.0,🟢 ACELERANDO - OPORTUNIDADE
RAO-SAO,SAO-RAO,2026-04-22,4,13,75,57.74,421,0.18,0.14,346,418,422,420,17.9,345,1,15,7,3,11,0,6.5,4.5,69.2,0.5,🟢 ACELERANDO - OPORTUNIDADE
ARB-SAO,ARB-SAO,2026-04-22,4,13,18,126.01,93,0.19,0.17,75,94,105,100,18.0,82,2,6,4,2,11,0,3.5,7.5,214.3,0.9,🟢 ACELERANDO - OPORTUNIDADE
BHZ-MCL,MCL-BHZ,2026-04-19,1,10,28,99.69,256,0.11,0.1,228,139,164,152,18.4,124,6,0,6,9,12,0,5.3,6.8,128.6,1.4,🟢 ACELERANDO - OPORTUNIDADE
BHZ-SJK,BHZ-SJK,2026-04-21,3,12,15,181.23,120,0.13,0.11,105,76,81,79,19.0,64,0,0,0,12,24,0,3.0,21.0,700.0,4.0,🟢 ACELERANDO - OPORTUNIDADE
SAO-SJK,SJK-SAO,2026-04-17,6,8,37,24.66,184,0.2,0.19,147,257,112,185,20.0,148,2,5,1,6,8,2,3.5,4.5,128.6,0.9,🟢 ACELERANDO - OPORTUNIDADE
SAO-SJK,SAO-SJK,2026-04-17,6,8,35,23.64,184,0.19,0.18,149,227,121,174,20.1,139,1,2,10,3,10,0,4.0,6.0,150.0,1.3,🟢 ACELERANDO - OPORTUNIDADE
CPC-FLN,CPC-FLN,2026-04-22,4,13,36,124.9,205,0.18,0.14,169,196,159,178,20.2,142,0,9,8,12,13,0,7.3,5.8,79.3,1.9,🟢 ACELERANDO - OPORTUNIDADE
BHZ-SAO,SAO-BHZ,2026-04-18,7,9,46,135.42,131,0.35,0.35,85,231,220,226,20.4,180,11,5,13,12,21,0,10.3,10.8,104.9,1.8,🟢 ACELERANDO - OPORTUNIDADE
RAO-SAO,RAO-SAO,2026-04-20,2,11,88,61.05,564,0.16,0.13,476,401,457,429,20.5,341,1,3,7,21,21,0,8.0,13.0,162.5,3.9,🟢 ACELERANDO - OPORTUNIDADE
RIO-VIX,VIX-RIO,2026-04-18,7,9,21,115.71,90,0.23,0.23,69,89,111,100,21.0,79,0,0,0,16,10,0,4.0,6.0,150.0,2.4,🟢 ACELERANDO - OPORTUNIDADE
BHZ-MCL,BHZ-MCL,2026-04-19,1,10,29,90.28,256,0.11,0.11,227,132,142,137,21.2,108,3,12,6,3,24,0,6.0,18.0,300.0,2.2,🟢 ACELERANDO - OPORTUNIDADE
BHZ-RAO,RAO-BHZ,2026-04-19,1,10,10,125.3,60,0.17,0.12,50,50,42,46,21.7,36,9,3,0,0,6,0,3.0,3.0,100.0,-0.6,🟢 ACELERANDO - OPORTUNIDADE
